gene1,gene2,co-expression,BP,CC,MF,label,ppi
UQCR11,NDUFA6,0.8258882140776377,0.2882936507936508,0.6416666666666665,0.2,-1,O14957:P56556
HTR1A,CNTNAP3B,-0.17535687432462413,0.2,1.0,0.0,0,P08908:Q96NU0
OSTN,ZCCHC8,-0.15197331273829642,0.1272222222222222,0.35757575757575755,0.8511363636363636,0,P61366:Q6NZY4
SEPTIN5,SEPTIN10,-0.35030665689741114,0.5833333333333334,0.35357142857142854,0.6961805555555556,1,Q99719:Q9P0V9
ZFAND5,PSMC3,0.5785355980305542,0.08583638583638582,0.4583959899749374,0.9108024691358025,1,O76080:P17980
CCK,TIGAR,-0.020047594329656786,0.1456825396825397,0.42083333333333334,0.7,0,P06307:Q9NQ88
HSD17B14,BEX1,0.3127571229988984,0.09072128851540617,0.31666666666666665,0.8696078431372549,0,Q9BPX1:Q9HBH7
LAMTOR4,CACNG8,-0.16135589431551303,0.18213329879996545,0.15055096418732783,0.15416666666666667,0,Q0VGL1:Q8WXS5
IL15,SPATC1L,-0.026210971611853193,0.13425925925925924,0.41666666666666663,0.9895833333333334,0,P40933:Q9H0A9
HAND1,PNLIPRP2,-0.05289657855806827,0.1066242784992785,0.37857142857142856,0.1772875816993464,0,O96004:P54317
CEP70,SPATA32,0.7290957320749281,0.08333333333333333,0.5,0.8333333333333334,0,Q8NHQ1:Q96LK8
RPL13,EEF1A1,0.827404947794208,0.426025641025641,0.4544047619047619,0.7121604938271605,-1,P26373:P68104
DIMT1,RCL1,0.498924900952928,0.30929487179487175,0.7277777777777779,0.2125,1,Q9UNQ2:Q9Y2P8
LEO1,NDUFB11,0.3244564651226179,0.09120370370370372,0.1868131868131868,1.0,0,Q8WVC0:Q9NX14
NRIP1,ASB11,0.040864083677208736,0.09507992007992007,0.68125,0.25,0,P48552:Q8WXH4
RPL9,EIF6,0.5091139657424619,0.09930865702924527,0.3554112554112554,0.8013888888888889,-1,P32969:P56537
MRPL48,MTRFR,0.4896238309909436,0.15000000000000002,1.0,0.6489795918367348,-1,Q96GC5:Q9H3J6
CD3G,PMP22,-0.057582092866936434,0.17842261904761905,0.621031746031746,1.0,-1,P09693:Q01453
ATP5PD,RPSA,0.05654588373495767,0.09361471861471861,0.20740740740740737,0.782051282051282,0,O75947:P08865
CBL,TTLL10,0.41806881726263223,0.14285714285714285,1.0,0.8874223602484471,0,P22681:Q6ZVT0
ATP5MG,ATP5PO,0.7407101825710422,0.8117647058823529,0.48863636363636365,0.9280000000000002,-1,O75964:P48047
GTF2F2,VAMP7,0.6224308129921002,0.08708432090785032,0.2327984817115251,0.8857142857142858,0,P13984:P51809
SFTPC,DUS3L,0.011289685102397272,0.08939393939393939,0.0,0.2873015873015873,0,P11686:Q96G46
RPL14,RPL11,0.8828131189664384,0.3308206413469571,0.6087797619047619,0.8271103896103899,1,P50914:P62913
OXA1L,MRPL4,0.7273759660664997,1.0,0.632142857142857,0.6785714285714286,-1,Q15070:Q9BYD3
SF3B4,CYP4F11,-0.2271464213953669,0.12992724867724867,0.25,0.2596560846560847,0,Q15427:Q9HBI6
MRPS14,MRPL9,0.7230346605310815,1.0,0.5248484848484848,0.7,-1,O60783:Q9BYD2
PCSK9,FBXO17,0.19197120616550467,0.3055555555555555,0.4807692307692308,0.9722222222222222,0,Q8NBP7:Q96EF6
RBM17,BLOC1S6,0.7403635988115158,0.07305139570871447,0.26160714285714287,0.9567099567099566,0,Q96I25:Q9UL45
PSMA7,PSMB2,0.7809661522426701,0.6944444444444443,0.8010849909584088,1.0,1,O14818:P49721
RPL23A,SERPINI1,-0.316569142835848,0.09145299145299145,0.3380952380952381,0.125,0,P62750:Q99574
DNTTIP2,UTP15,0.8868516585985985,0.25746753246753246,0.47074074074074074,0.8333333333333334,-1,Q5QJE6:Q8TED0
BUD31,SNRPD1,0.7112186480219174,0.6212585034013605,0.41324884792626726,0.8574074074074074,-1,P41223:P62314
HBD,RAB11B,-0.08583969842751937,0.13839586339586338,0.28584656084656085,0.8039562289562291,0,P02042:Q15907
MRC1,NAE1,0.0493319695907927,0.08659497068587978,0.4351851851851852,0.816017316017316,0,P22897:Q13564
LSM3,SNW1,0.7793953308826829,0.1977288271461204,0.8085581085581085,0.9504273504273505,-1,P62310:Q13573
SF3A3,CHCHD5,0.4789114544108609,0.14285714285714285,0.3703703703703704,1.0,0,Q12874:Q9BSY4
BYSL,TRMT112,0.6751782473370711,0.34516488413547236,0.5175925925925926,0.9244047619047618,-1,Q13895:Q9UI30
NGDN,IMP3,0.6335930443916482,0.543560606060606,0.4458333333333333,0.893103448275862,-1,Q8NEJ9:Q9NV31
